ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
10,2,197,103,5,-110.33359,24.08122,-0.6303098947386458,0,3.078708708248163,3,0.8747469900882315,2,3,-0.45524073155104017,1,3.3225421747714776,0,1.9480953592650623,2,0.24514442223286625,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.11606116960486927,0,0.18221198556364562,1,Rojo,70,2,1,1,1,1.0,1,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2,197,103,5,-110.30773,24.08008,-0.2305049291750198,0,1.387494136566998,1,9.579032419646504,4,2,-0.3591597423097494,1,0.903238080385336,0,-0.14257418485193932,1,0.18615752514030734,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.04001779843500937,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.17133090493547654,0,0.01562903429941853,1,Amarillo,72,2,1,1,1,1.0,1,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2,197,103,5,-110.31538,24.05496,-0.5541565679646219,0,0.698122863538866,1,0.19592569362666115,0,0,-0.4146350753835899,1,0.7205446361868405,0,-0.17274728925409422,4,0.36022157859378323,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06230598920712909,0,Amarillo,45,2,1,2,2,1.0,1,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.31963,24.04636,-0.8302123775204588,3,0.7794622310340077,1,0.3219217974412632,0,0,-0.45524073155104017,1,0.7482254610654004,0,-0.17274728925409422,4,0.37045750099164554,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18727409781930557,0,-0.05854834319661405,0,Amarillo,45,2,1,2,2,1.0,1,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.32825,24.0301,-0.620790728891893,0,-0.3423767681811651,0,-0.16088129707188253,3,1,-0.45524073155104017,1,-0.4143691838341184,1,-0.17274728925409422,4,-0.18374364074624358,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06250471087114672,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.32911,24.01131,-0.7255015532061758,0,-0.3681476568924971,0,-0.17856879171483359,3,1,-0.45524073155104017,1,-0.4697308335912384,1,-0.0026762694493794163,0,-0.1809950071899846,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.0651061581091956,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.351111,23.992694,-0.040121612239959914,0,-0.2674801228638563,4,-0.1544759492176451,3,1,-0.4417228434543218,1,-0.3257905442227265,1,-0.17274728925409422,4,-0.23260280008411974,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06573845431288802,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.372139,23.97425,-0.11627493901398388,0,-0.131377616857134,4,-0.1309654110708418,1,1,-0.3997134065999046,1,-0.3257905442227265,1,-0.17274728925409422,4,-0.2990195354150858,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.0651061581091956,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.37261,24.05342,-0.5731948996581279,0,2.0559265625171728,3,0.55528026585814,2,3,-0.45524073155104017,1,2.2194695127137725,0,2.650997080555973,2,1.7040880977657247,0,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06369704085525245,0,Rojo,71,2,1,1,1,1.0,1,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,121,5,-109.92619,23.96589,-1.448958157559404,1,1.8062710781261435,3,0.7239301633384595,2,3,-0.45524073155104017,1,1.3572036083937196,0,-0.020711889205110138,0,0.5635260700560805,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18302257971695116,0,-0.048774850448110973,0,Amarillo,64,2,1,1,1,1.0,1,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
